Player,Team,Age,Position,GP,DFGM,DFGA,DFG_PCT,FG_PCT,Season
Brook Lopez,MIL,36,C,79,8.7,17.1,50.6,55.5,2023-24
Nikola Jokic,DEN,29,C,78,8.7,15.8,55.1,56.1,2023-24
Rudy Gobert,MIN,31,C,76,7,15.2,46.1,55.2,2023-24
Anthony Davis,LAL,31,F-C,76,6.7,13.5,49.7,55.4,2023-24
Domantas Sabonis,SAC,28,F-C,82,6.8,13.4,51.3,56.2,2023-24
Jarrett Allen,CLE,26,C,76,7,13.2,53.1,55.9,2023-24
Ivica Zubac,LAC,27,C,68,6.1,12.7,48.1,55.5,2023-24
Nic Claxton,BKN,25,C,69,6.3,12.6,49.8,54.9,2023-24
Victor Wembanyama,SAS,20,F-C,71,6.3,12.6,49.6,56.3,2023-24
Jusuf Nurkic,PHX,29,C,76,6.2,12.5,49.9,55.3,2023-24
Chet Holmgren,OKC,22,C-F,82,6,12,49.5,56.3,2023-24
Nikola Vucevic,CHI,33,C,75,6.5,11.9,54.7,56,2023-24
Daniel Gafford,DAL,25,F-C,73,6.2,11.8,52,56.1,2023-24
Deni Avdija,WAS,23,F,75,6.3,11.8,53.4,54.3,2023-24
Myles Turner,IND,28,C-F,77,6.3,11.6,54.5,55.6,2023-24
Zach Collins,SAS,26,F-C,69,5.7,10.6,54,55.6,2023-24
Nick Richards,CHA,26,C,67,5.8,10.3,56.6,56.4,2023-24
Clint Capela,ATL,30,C,73,5.4,10.3,52.8,55.9,2023-24
Isaiah Hartenstein,NYK,26,C-F,75,5,10.3,49.3,55.7,2023-24
Jeremy Sochan,SAS,21,F,74,5.5,9.9,55.2,54.3,2023-24
Grayson Allen,PHX,28,G,75,5.2,9.8,52.9,54.1,2023-24
Brandon Miller,CHA,21,F,74,5.4,9.6,56.2,54.4,2023-24
Bam Adebayo,MIA,26,C-F,71,4.7,9.5,49.2,55.6,2023-24
Luka Doncic,DAL,25,F-G,70,5.2,9.5,54.8,54.8,2023-24
Jaren Jackson Jr.,MEM,24,F-C,66,4.9,9.5,52,55.7,2023-24
P.J. Washington,DAL,25,F,72,5.1,9.4,53.9,55,2023-24
Austin Reaves,LAL,25,G,82,5.2,9.2,56.6,53.8,2023-24
Paolo Banchero,ORL,21,F,80,5.1,9.2,56,55.2,2023-24
Derrick White,BOS,29,G,73,4.6,8.9,51.8,53.9,2023-24
Pascal Siakam,IND,30,F,80,4.9,8.9,55.2,54.3,2023-24
Keegan Murray,SAC,23,F,77,4.6,8.9,51.8,54.3,2023-24
Al Horford,BOS,37,C-F,65,4.7,8.8,53.2,54.4,2023-24
Jonas Valanciunas,NOP,32,C,82,5,8.8,56.9,56.8,2023-24
Coby White,CHI,24,G,78,5.3,8.7,60.2,54.1,2023-24
Jrue Holiday,BOS,33,G,69,4.4,8.7,50.7,54.2,2023-24
Max Strus,CLE,28,G-F,69,4,8.7,45.9,54,2023-24
Jabari Smith Jr.,HOU,21,F,76,4.6,8.7,53.3,55.2,2023-24
Paul George,LAC,34,F,74,4.4,8.7,50.5,54.2,2023-24
Aaron Nesmith,IND,24,G-F,72,4.5,8.6,51.6,54.4,2023-24
Fred VanVleet,HOU,30,G,73,4.5,8.6,51.9,53.6,2023-24
Miles Bridges,CHA,26,F,69,4.7,8.6,55.3,55.4,2023-24
Kyle Kuzma,WAS,28,F,70,4.8,8.6,55.8,55,2023-24
James Harden,LAC,34,G,72,4.7,8.5,55.4,54.4,2023-24
Precious Achiuwa,NYK,24,F,74,4.4,8.5,52.3,55.1,2023-24
Dillon Brooks,HOU,28,G-F,72,4.7,8.2,56.7,54.3,2023-24
Shai Gilgeous-Alexander,OKC,25,G,75,4.3,8.2,52.4,53.8,2023-24
John Collins,UTA,26,F-C,68,4.7,8.2,57.5,55.4,2023-24
Dorian Finney-Smith,BKN,31,F,67,4.2,8.2,51.3,54.6,2023-24
Josh Hart,NYK,29,G,81,4.3,8.2,52.6,54.7,2023-24
D'Angelo Russell,LAL,28,G,76,4.4,8.2,54.4,53.8,2023-24
Jaden McDaniels,MIN,23,F,72,4.1,8.1,49.8,53.3,2023-24
Aaron Gordon,DEN,28,F,72,3.9,8.1,48,55.1,2023-24
Bruce Brown,TOR,27,G-F,67,4.8,8.1,58.8,54.3,2023-24
Buddy Hield,PHI,31,G,83,4.5,8.1,55.8,53.8,2023-24
Dejounte Murray,ATL,27,G,78,4.7,8,58.1,54.2,2023-24
Tobias Harris,PHI,31,F,69,4.3,8,54,55.1,2023-24
Paul Reed,PHI,24,F,81,4.3,7.8,55,55,2023-24
Kelly Olynyk,TOR,33,F-C,78,4.6,7.8,59.2,55.7,2023-24
Giannis Antetokounmpo,MIL,29,F,73,4.1,7.7,52.7,55.4,2023-24
Kevin Durant,PHX,35,F,75,3.8,7.7,48.9,55.2,2023-24
Devin Booker,PHX,27,G,68,4.2,7.7,54.2,54.1,2023-24
Bogdan Bogdanovic,ATL,31,G,79,4.1,7.6,53.2,54,2023-24
Dennis Schroder,BKN,30,G,80,4.2,7.5,55.9,53.3,2023-24
Grant Williams,CHA,25,F,76,4.3,7.5,57.8,54.8,2023-24
Alex Caruso,CHI,30,G,70,3.9,7.5,52.4,54.1,2023-24
Mikal Bridges,BKN,27,G-F,80,3.7,7.5,50,54,2023-24
Franz Wagner,ORL,22,F,72,3.8,7.4,51.3,54.1,2023-24
Damian Lillard,MIL,33,G,73,4,7.4,53.5,53.1,2023-24
Kawhi Leonard,LAC,32,F,68,3.9,7.3,53.3,54.3,2023-24
